id,titel,beschreibung,zielgruppe,kuche,ernahrung,schwierigkeitsgrad,portionen,vorbereitungszeit_min,kochzeit_min,gesamtzeit_min,kalorien_kcal,protein_g,kohlenhydrate_g,fett_g,allergene,tags,bewertung,autor,zutaten_json,schritte_json,sprache,erstellt_am,seo_slug
79,Herzhafter Orientalisch-Eintopf (pescetarisch),"Schnelles Orientalisch-Rezept, abgestimmt auf Sportler.",Sportler,Orientalisch,pescetarisch,leicht,4,6,30,36,638,40,40,30,gluten,"faserreich, high_protein, ofen, pfanne",4.0,Team Küche,"[""2 x Kokosmilch"", ""3 x Kidneybohnen"", ""2 x Petersilie"", ""3 x Basilikum"", ""3 x Olivenöl"", ""3 x Karotte"", ""2 x Zwiebel"", ""2 x Pasta"", ""3 x Tomatenmark"", ""2 x Currypaste"", ""1 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,79-herzhafter-orientalisch-eintopf-(pescetarisch)
80,Herzhafter Asiatisch-Eintopf (glutenfrei),"Schnelles Asiatisch-Rezept, abgestimmt auf One-Pot.",One-Pot,Asiatisch,glutenfrei,leicht,1,7,14,21,425,18,40,26,erdnüsse,"pikant, salat, schnell, unter_30_min",4.6,Gastautor,"[""2 x Rinderhack"", ""2 x Brühe"", ""3 x Paprika"", ""3 x Tofu"", ""3 x Haferflocken"", ""2 x Kokosmilch"", ""1 x Koriander"", ""2 x Tomatenmark"", ""1 x Gurke"", ""3 x Basilikum"", ""2 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,80-herzhafter-asiatisch-eintopf-(glutenfrei)
81,Indische Pasta in 15 Minuten (omnivor),"Schnelles Indisch-Rezept, abgestimmt auf Berufstätige.",Berufstätige,Indisch,omnivor,leicht,4,12,20,32,570,40,29,23,"fisch, gluten","eintopf, faserreich, high_protein, low_carb, mealprep, pfanne",3.9,Community,"[""2 x Zucchini"", ""1 x Koriander"", ""1 x Zwiebel"", ""1 x Knoblauchzehe"", ""3 x Currypaste"", ""3 x Brühe"", ""3 x Basilikum""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,81-indische-pasta-in-15-minuten-(omnivor)
82,Indischer Salat to go (vegetarisch),"Schnelles Indisch-Rezept, abgestimmt auf Budget.",Budget,Indisch,vegetarisch,leicht,3,18,28,46,504,14,55,18,gluten,"eintopf, familienfreundlich, pikant, reis, unter_30_min",4.6,Gastautor,"[""2 x Vollkornpasta"", ""2 x Quinoa"", ""3 x Gurke"", ""2 x Reis"", ""1 x Zucchini"", ""3 x Zwiebel"", ""3 x Kidneybohnen"", ""1 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,82-indischer-salat-to-go-(vegetarisch)
83,Orientalische Bowl für Familien (omnivor),"Schnelles Orientalisch-Rezept, abgestimmt auf Familien.",Familien,Orientalisch,omnivor,leicht,1,12,22,34,605,40,47,35,"eier, laktose, soja","familienfreundlich, pikant, reis",4.6,Community,"[""2 x Reis"", ""3 x Gurke"", ""1 x Karotte"", ""3 x Brühe"", ""1 x Rinderhack"", ""3 x Tomatenmark"", ""1 x Currypaste"", ""3 x Kartoffeln""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,83-orientalische-bowl-für-familien-(omnivor)
84,Deutsche Pasta in 15 Minuten (omnivor),"Schnelles Deutsch-Rezept, abgestimmt auf Budget.",Budget,Deutsch,omnivor,mittel,1,9,12,21,531,28,43,23,sellerie,"eintopf, familienfreundlich, faserreich, pikant, saisonal, unter_30_min",4.9,Gastautor,"[""2 x Hähnchenbrust"", ""2 x Kichererbsen"", ""2 x Tomatenmark"", ""2 x Zucchini"", ""1 x Koriander"", ""1 x Spinat"", ""1 x Paprika"", ""3 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,84-deutsche-pasta-in-15-minuten-(omnivor)
85,Deutscher Salat to go (pescetarisch),"Schnelles Deutsch-Rezept, abgestimmt auf Senioren.",Senioren,Deutsch,pescetarisch,leicht,1,15,9,24,584,25,30,37,"gluten, laktose, soja","eintopf, pikant, suppe, unter_15_min, unter_30_min",4.2,Team Küche,"[""3 x Zwiebel"", ""3 x Paprika"", ""2 x Sojasauce"", ""1 x Olivenöl"", ""1 x Zitrone"", ""1 x Tomate"", ""1 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,85-deutscher-salat-to-go-(pescetarisch)
86,Ofenrezept: Italienische Blechvariante (vegetarisch),"Schnelles Italienisch-Rezept, abgestimmt auf Meal-Prep.",Meal-Prep,Italienisch,vegetarisch,leicht,3,8,6,14,489,17,64,11,gluten,"familienfreundlich, mealprep, pfanne, saisonal, salat, suppe, unter_15_min",4.3,Chefkoch Max,"[""1 x Karotte"", ""3 x Aubergine"", ""3 x Pasta"", ""1 x Koriander"", ""2 x Spinat"", ""3 x Tomatenmark"", ""2 x Reis"", ""2 x Petersilie"", ""3 x Joghurt"", ""2 x Tofu""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,86-ofenrezept:-italienische-blechvariante-(vegetarisch)
87,Indische Pasta in 15 Minuten (glutenfrei),"Schnelles Indisch-Rezept, abgestimmt auf Anfänger.",Anfänger,Indisch,glutenfrei,mittel,2,13,10,23,424,31,36,20,"gluten, laktose","mealprep, pfanne, pikant, proteinreich, reis, unter_30_min",4.6,Chefkoch Max,"[""1 x Paprika"", ""3 x Zucchini"", ""3 x Olivenöl"", ""2 x Kidneybohnen"", ""3 x Brühe"", ""3 x Sojasauce"", ""1 x Currypaste"", ""3 x Gurke"", ""1 x Tomatenmark"", ""2 x Rinderhack"", ""3 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,87-indische-pasta-in-15-minuten-(glutenfrei)
88,Amerikanische Bowl für Senioren (vegetarisch),"Schnelles Amerikanisch-Rezept, abgestimmt auf Senioren.",Senioren,Amerikanisch,vegetarisch,mittel,2,7,6,13,458,19,49,29,"laktose, nüsse, sesam","mealprep, ofen, saisonal, unter_15_min, unter_30_min",4.1,Gastautor,"[""1 x Zitrone"", ""3 x Kokosmilch"", ""2 x Tomate"", ""3 x Kidneybohnen"", ""2 x Joghurt"", ""3 x Haferflocken"", ""2 x Mais""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,88-amerikanische-bowl-für-senioren-(vegetarisch)
89,Indischer Salat to go (pescetarisch),"Schnelles Indisch-Rezept, abgestimmt auf Familien.",Familien,Indisch,pescetarisch,mittel,1,10,17,27,693,40,44,38,"eier, erdnüsse, gluten","familienfreundlich, mealprep, ofen, pikant, unter_30_min",4.5,Community,"[""2 x Tofu"", ""1 x Haferflocken"", ""2 x Tomate"", ""1 x Kidneybohnen"", ""1 x Kichererbsen"", ""3 x Gurke"", ""1 x Quinoa"", ""2 x Karotte"", ""2 x Joghurt"", ""1 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,89-indischer-salat-to-go-(pescetarisch)
90,Proteinreicher Orientalisch-Mix (omnivor),"Schnelles Orientalisch-Rezept, abgestimmt auf Studierende.",Studierende,Orientalisch,omnivor,leicht,2,12,10,22,623,30,51,30,"erdnüsse, laktose","mealprep, saisonal, suppe, unter_30_min",4.8,Team Küche,"[""2 x Hähnchenbrust"", ""3 x Tomate"", ""3 x Haferflocken"", ""2 x Gurke"", ""3 x Tomatenmark"", ""1 x Mais"", ""2 x Petersilie"", ""3 x Kokosmilch"", ""1 x Karotte""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,90-proteinreicher-orientalisch-mix-(omnivor)
91,Asiatische Bowl für Low-Carb (keto),"Schnelles Asiatisch-Rezept, abgestimmt auf Low-Carb.",Low-Carb,Asiatisch,keto,mittel,3,8,15,23,693,33,14,46,weichtiere,"familienfreundlich, low_carb, pikant, proteinreich, schnell, unter_30_min",4.5,Gastautor,"[""1 x Paprika"", ""1 x Kokosmilch"", ""1 x Zwiebel"", ""1 x Spinat"", ""3 x Karotte"", ""2 x Tofu"", ""1 x Sojasauce"", ""2 x Haferflocken"", ""1 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,91-asiatische-bowl-für-low-carb-(keto)
92,Proteinreicher Amerikanisch-Mix (keto),"Schnelles Amerikanisch-Rezept, abgestimmt auf Senioren.",Senioren,Amerikanisch,keto,leicht,1,13,7,20,712,25,25,52,gluten,"high_protein, low_carb, mild, pikant, salat, suppe, unter_30_min",4.4,Chefkoch Lina,"[""3 x Hähnchenbrust"", ""2 x Gurke"", ""3 x Joghurt"", ""3 x Rapsöl"", ""2 x Spinat"", ""3 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz."", ""Anrichten, mit frischen Kräutern toppen und sofort servieren.""]",de,2025-11-11T10:02:00Z,92-proteinreicher-amerikanisch-mix-(keto)
93,Schnelle Mexikanisch-Pfanne (keto),"Schnelles Mexikanisch-Rezept, abgestimmt auf Sportler.",Sportler,Mexikanisch,keto,leicht,3,17,27,44,894,48,9,56,"laktose, nüsse","familienfreundlich, high_protein, low_carb, mealprep, reis, saisonal, unter_15_min",4.4,Chefkoch Max,"[""2 x Tofu"", ""2 x Brühe"", ""3 x Kokosmilch"", ""2 x Rapsöl"", ""1 x Karotte"", ""3 x Currypaste"", ""3 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,93-schnelle-mexikanisch-pfanne-(keto)
94,Schnelle Orientalisch-Pfanne (glutenfrei),"Schnelles Orientalisch-Rezept, abgestimmt auf Low-Carb.",Low-Carb,Orientalisch,glutenfrei,mittel,2,18,9,27,617,30,44,28,,"high_protein, proteinreich, schnell, unter_30_min",4.5,Chefkoch Lina,"[""1 x Kartoffeln"", ""2 x Olivenöl"", ""2 x Basilikum"", ""3 x Aubergine"", ""1 x Knoblauchzehe"", ""1 x Gurke"", ""3 x Lachsfilet"", ""2 x Mais"", ""2 x Reis""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,94-schnelle-orientalisch-pfanne-(glutenfrei)
95,Herzhafter Indisch-Eintopf (omnivor),"Schnelles Indisch-Rezept, abgestimmt auf Anfänger.",Anfänger,Indisch,omnivor,leicht,3,14,13,27,678,39,56,37,"laktose, sellerie","familienfreundlich, mild, pikant, saisonal, salat, unter_30_min",3.9,Chefkoch Max,"[""3 x Zitrone"", ""1 x Kokosmilch"", ""1 x Paprika"", ""1 x Kartoffeln"", ""1 x Rapsöl"", ""1 x Gurke"", ""1 x Karotte"", ""1 x Tofu"", ""2 x Joghurt"", ""1 x Petersilie""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,95-herzhafter-indisch-eintopf-(omnivor)
96,Herzhafter Mediterran-Eintopf (pescetarisch),"Schnelles Mediterran-Rezept, abgestimmt auf Anfänger.",Anfänger,Mediterran,pescetarisch,mittel,1,16,19,35,594,38,57,27,"erdnüsse, laktose","mealprep, nudeln, pfanne, reis, saisonal, salat",4.0,Gastautor,"[""2 x Knoblauchzehe"", ""3 x Olivenöl"", ""2 x Paprika"", ""3 x Gurke"", ""1 x Currypaste"", ""3 x Pasta"", ""1 x Koriander"", ""2 x Lachsfilet""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,96-herzhafter-mediterran-eintopf-(pescetarisch)
97,One‑Pot Asiatisch Comfort Food (pescetarisch),"Schnelles Asiatisch-Rezept, abgestimmt auf Familien.",Familien,Asiatisch,pescetarisch,leicht,4,5,12,17,682,27,41,34,"gluten, sellerie","eintopf, familienfreundlich, reis, schnell, suppe, unter_30_min",4.1,Community,"[""1 x Pasta"", ""1 x Vollkornpasta"", ""3 x Aubergine"", ""1 x Karotte"", ""1 x Kichererbsen"", ""3 x Lachsfilet"", ""2 x Quinoa"", ""3 x Tomatenmark""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische."", ""Optional im Ofen fertiggaren oder ziehen lassen bis gewünschte Konsistenz.""]",de,2025-11-11T10:02:00Z,97-one‑pot-asiatisch-comfort-food-(pescetarisch)
98,Asiatische Bowl für Anfänger (pescetarisch),"Schnelles Asiatisch-Rezept, abgestimmt auf Anfänger.",Anfänger,Asiatisch,pescetarisch,mittel,4,20,14,34,575,30,41,28,"fisch, sesam","low_carb, nudeln, pfanne, schnell",4.6,Gastautor,"[""3 x Pasta"", ""2 x Petersilie"", ""3 x Tomate"", ""1 x Kokosmilch"", ""1 x Lachsfilet"", ""2 x Brühe"", ""1 x Rapsöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,98-asiatische-bowl-für-anfänger-(pescetarisch)
99,Ofenrezept: Indische Blechvariante (keto),"Schnelles Indisch-Rezept, abgestimmt auf Senioren.",Senioren,Indisch,keto,leicht,2,13,23,36,716,23,17,54,"erdnüsse, gluten, laktose","eintopf, familienfreundlich, faserreich, low_carb, mild, proteinreich, reis",4.0,Team Küche,"[""2 x Haferflocken"", ""2 x Sojasauce"", ""3 x Tomatenmark"", ""1 x Zucchini"", ""2 x Tomate"", ""3 x Kichererbsen"", ""1 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,99-ofenrezept:-indische-blechvariante-(keto)
100,Mexikanischer Salat to go (keto),"Schnelles Mexikanisch-Rezept, abgestimmt auf Studierende.",Studierende,Mexikanisch,keto,mittel,1,10,20,30,699,45,13,55,"eier, gluten","eintopf, low_carb, mild, nudeln, proteinreich, unter_15_min, unter_30_min",4.8,Community,"[""1 x Zitrone"", ""1 x Knoblauchzehe"", ""2 x Haferflocken"", ""3 x Zwiebel"", ""3 x Kokosmilch"", ""2 x Rinderhack"", ""1 x Sojasauce"", ""1 x Olivenöl""]","[""Zutaten waschen, schälen und in gleichmäßige Stücke schneiden."", ""Öl in Pfanne oder Topf erhitzen, aromatische Zutaten zuerst anschwitzen."", ""Hauptzutaten zugeben und kräftig anrösten, regelmäßig umrühren."", ""Mit Brühe/Sojasauce/Tomatenmark ablöschen und köcheln lassen."", ""Mit Salz, Pfeffer, Kräutern abschmecken, Zitronensaft für Frische.""]",de,2025-11-11T10:02:00Z,100-mexikanischer-salat-to-go-(keto)
